Code,Name
CS,Computer Science
MS,Maths/Statistics
MKT,Marketing
CTE,Computer Engineering
GNS,General Studies
SLT,Science Laboratory Technology
FT,Food Science Technology
NUD,Nutrition and Dietetics
HMT,Hospitality Management
CE,Civil Engineering
AC,Accountancy
ME,Mechanical Engineering
BA,Business Administration
OTM,Office Technology Management
BF,Banking and Finance
LIS,Library and Information Science
TAX,Taxation
ABE,Agric. Bio-Envr. Engr. Tech 
SG,Surveying & Geo-informatics
ARC,Architectural Technology
PA,Public Administration
QS,Quantity Surveying
EE,Electrical Electronics Engineering
MSC,Mass Communication
EMV,Estate Management & Valuation
ARD,Art & Design
MCE,Mechatronics Engineering Tech
INC,Innovation Centre
URP,Urban & Regional Planning
INS,Insurance
TPM,Transp. Plan. & Mgt.
BT,Building Technology
LT,Leisure & Tourism
WEC,Welding & Fabrication
ROB,Robotics Centre
MT,Music Technology
AGT,Agricultural Technology
REC,Rectory
